customer_id,age,gender,income,loan_type,loan_amount,interest_rate,loan_term,loan_interest_rate,credit_score,employment_status,marital_status,remediation_strategy,missed_payments,missed_payments_duration,successful,timestamp
18121,39,Male,30536,Home,19550,0.07,14,7.000000000000001,473,Self-employed,Single,Forbearance,12,10,False,2019-09-14
395277,26,Male,143985,Personal,53774,0.16,54,16.0,386,Self-employed,Single,Loan Restructuring,5,1,True,2023-11-11
432347,20,Male,170323,Personal,163742,0.09,25,9.0,627,Self-employed,Single,Payment Reminder,1,4,False,2022-12-11
456904,38,Male,41820,Home,221750,0.1,58,10.0,424,Unemployed,Single,Forbearance,9,10,True,2023-05-02
124059,62,Male,178307,Home,258990,0.13,43,13.0,404,Self-employed,Divorced,Deferment,0,0,True,2022-07-24
156946,59,Male,160582,Student,48053,0.14,33,14.000000000000002,709,Employed,Married,Refinancing,3,10,True,2023-09-27
171231,61,Female,26136,Business,237593,0.12,26,12.0,840,Self-employed,Married,Deferment,7,10,False,2021-12-18
375585,26,Female,147102,Home,133509,0.06,17,6.0,616,Employed,Single,Forbearance,8,2,True,2022-11-08
822735,58,Male,193194,Home,163713,0.12,52,12.0,504,Self-employed,Divorced,Loan Restructuring,7,3,False,2022-12-05
701493,57,Male,161269,Auto,290084,0.11,56,11.0,558,Employed,Single,Debt Consolidation,3,6,True,2018-03-20
665474,41,Female,197830,Personal,393953,0.06,45,6.0,562,Employed,Single,Loan Restructuring,10,1,False,2018-08-01
998658,48,Male,134470,Student,146434,0.19,27,19.0,617,Employed,Single,Payment Reminder,6,3,False,2019-08-04
511528,41,Female,161353,Personal,328521,0.18,21,18.0,685,Employed,Single,Loan Restructuring,5,3,True,2020-08-01
676178,59,Male,198519,Auto,255370,0.2,42,20.0,747,Employed,Divorced,Refinancing,12,12,True,2022-07-10
744400,18,Female,139479,Auto,411990,0.16,41,16.0,577,Unemployed,Divorced,Debt Consolidation,0,0,False,2023-07-14
904798,42,Male,146587,Personal,140562,0.17,54,17.0,435,Unemployed,Married,Loan Restructuring,7,4,True,2020-04-09
24126,27,Female,32373,Auto,47969,0.2,35,20.0,634,Unemployed,Divorced,Loan Restructuring,11,5,False,2018-03-22
